img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
1119,65.1395,0.999995,0.3090,0.7428,100.00,1305,65.2337,0.999970,0.1229,0.7484,100.00,1277,71.2713,0.999998,0.2194,0.7429,0.00,318,70.7085,0.999999,0.2282,0.7429,0.00,362
1142,65.2988,0.999971,0.1504,0.5767,100.00,1258,65.2100,0.999852,0.0412,0.6761,100.00,1284,70.6608,0.999990,0.1541,0.5742,0.00,366,69.7635,0.999993,0.1618,0.5742,0.00,450
1177,65.2235,0.999989,0.2143,0.0035,100.00,1280,65.2885,0.999819,0.0519,0.0209,100.00,1261,70.6371,0.999997,0.1953,0.0036,0.00,368,69.9107,0.999997,0.2078,0.0036,0.00,435
1239,65.1595,0.999963,0.1095,0.7023,100.00,1299,65.1998,0.999863,0.0348,0.7614,100.00,1287,71.0064,0.999989,0.1017,0.6942,0.00,338,69.8809,0.999992,0.1233,0.6934,0.00,438
1303,65.1931,0.999964,0.1481,0.4781,100.00,1289,65.1130,0.999848,0.0418,0.6070,100.00,1313,70.4636,0.999994,0.1819,0.4731,0.00,383,69.1189,0.999995,0.1920,0.4733,0.00,522
1316,65.1629,0.999993,0.2983,0.8646,100.00,1298,65.2507,0.999982,0.1505,0.8649,100.00,1272,71.8396,0.999998,0.1910,0.8647,0.00,279,71.7168,0.999998,0.2015,0.8647,0.00,287
1337,65.2405,0.999951,0.1247,0.4657,100.00,1275,65.0246,0.999821,0.0376,0.6162,100.00,1340,71.4526,0.999984,0.1291,0.4470,0.00,305,69.6211,0.999983,0.1314,0.4412,0.00,465
1397,65.1662,0.999948,0.0970,0.6597,100.00,1297,65.1528,0.999847,0.0313,0.7198,100.00,1301,70.6019,0.999989,0.1245,0.6517,0.00,371,69.1691,0.999992,0.1368,0.6508,0.00,516
1538,65.1729,0.999935,0.1088,0.0966,100.00,1295,65.1998,0.999795,0.0292,0.2526,100.00,1287,70.8425,0.999983,0.1190,0.0897,0.00,351,69.4025,0.999986,0.1415,0.0885,0.00,489
1568,65.2167,0.999992,0.2688,0.0514,100.00,1282,65.1931,0.999836,0.0644,0.1440,100.00,1289,70.9300,0.999997,0.2226,0.0514,0.00,344,70.3187,0.999997,0.2178,0.0514,0.00,396
1571,65.1595,0.999962,0.1407,0.2124,100.00,1299,65.1295,0.999798,0.0363,0.4034,100.00,1308,71.0322,0.999987,0.1373,0.1985,0.00,336,70.3517,0.999992,0.1729,0.1945,0.00,393
1577,65.1931,0.999990,0.2230,0.0037,100.00,1289,65.2816,0.999823,0.0523,0.0215,100.00,1263,70.3627,0.999996,0.1907,0.0037,0.00,392,69.9508,0.999997,0.2097,0.0037,0.00,431
1663,65.0636,0.999959,0.1406,0.6182,100.00,1328,65.1528,0.999840,0.0367,0.6956,100.00,1301,70.7205,0.999992,0.1540,0.6149,0.00,361,69.1272,0.999993,0.1711,0.6136,0.00,521
1672,65.2644,0.999942,0.1108,0.6429,100.00,1268,65.0767,0.999820,0.0320,0.7311,100.00,1324,70.3961,0.999991,0.1678,0.6282,0.00,389,68.7674,0.999993,0.1940,0.6274,0.00,566
1772,65.1562,0.999940,0.1669,0.1609,100.00,1300,65.1998,0.999798,0.0427,0.3264,100.00,1287,70.8549,0.999987,0.1881,0.1540,0.00,350,69.1607,0.999989,0.1989,0.1527,0.00,517
